regulator	target	bootstraps
PITX2	STIL	20.0
PITX2	TTK	20.0
PITX2	ANLN	20.0
PITX2	ERCC6L	20.0
PITX2	ECT2	20.0
SOX6	MEX3A	20.0
PITX2	KIF15	20.0
PITX2	MCM10	20.0
PITX2	BUB1	20.0
MAF	STX11	20.0
CTCF	CENPF	-20.0
MAF	CHL1	20.0
PITX2	KANK3	-20.0
PITX2	CENPI	20.0
PITX2	XRCC2	20.0
NFYB	ZNF695	20.0
PITX2	PLK4	20.0
YBX1	ALYREF	20.0
PITX2	KIF23	20.0
PITX2	CEP55	20.0
PITX2	MASTL	20.0
YBX1	UBE2S	20.0
AHR	GAS2L3	-20.0
MAF	TMEM37	20.0
GATA2	INPP4B	20.0
PITX2	FANCB	20.0
ZEB1	LRP1	-20.0
MAF	CPA3	20.0
MYCN	BYSL	20.0
MAF	DPT	20.0
PITX2	GINS1	20.0
PITX2	RACGAP1	20.0
MAF	THSD7B	20.0
MAF	FAM198B	20.0
CTCF	PKMYT1	-20.0
PITX2	TOP2A	20.0
SOX6	TET3	20.0
MYCN	GAL	20.0
MAF	F13A1	20.0
MAF	HSD17B11	20.0
CTCF	DSCAML1	20.0
PITX2	DDIAS	20.0
SOX6	SBK1	20.0
GATA2	COL4A6	20.0
MAF	NR3C1	20.0
ARNTL	AVPR2	-20.0
SRF	MRVI1	20.0
TCF3	IGIP	20.0
MAF	CCDC69	20.0
IRF6	LSR	20.0
CTCF	CABLES2	-20.0
PLAGL1	SLC25A39	20.0
GATA5	THSD7A	20.0
GATA5	DMD	20.0
YBX1	ZC3H6	-20.0
SRF	LIMS2	20.0
MYCN	VGF	20.0
CTCF	PLOD1	-20.0
MYCN	NUDT3	20.0
YBX1	FAM172A	-20.0
CTCF	IQUB	20.0
SOX10	FAM198B	20.0
MYCN	LRRC59	20.0
MYCN	NME1	20.0
YBX1	ACOT7	20.0
RUNX2	SHCBP1	-20.0
ONECUT1	B3GALT1	20.0
YBX1	DTYMK	20.0
PITX2	CIRBP	-20.0
CTCF	C1orf168	20.0
IRF9	IFI6	20.0
CTCF	HOGA1	20.0
ZNF148	COL10A1	20.0
CTCF	DNAH5	20.0
SRF	CYR61	20.0
GATA4	SYNPO2	20.0
GATA2	SYNPO2	20.0
LHX1	PDGFD	20.0
PITX2	FAM110D	-20.0
CTCF	ZWINT	-20.0
MYCN	MTHFD2	20.0
MYCN	GTPBP4	20.0
IRF6	TPM3	20.0
GATA2	RBMS3	20.0
GATA3	ARID5B	20.0
CTCF	SMIM10L2A	20.0
GATA4	RBMS3	20.0
TP53	GPX2	20.0
MYCN	NT5DC2	20.0
FOXA1	NR2F1	20.0
RUNX1	FNDC1	20.0
CTCF	E2F3	-20.0
SOX6	ZNF124	20.0
NFYB	MXD3	20.0
RFX3	TFAP2B	20.0
GATA2	AK5	20.0
TP53	SLC47A2	20.0
E2F6	WDR76	20.0
GATA4	PTPRM	20.0
YBX1	ZWINT	20.0
GATA2	ARID5B	20.0
GATA2	SYTL2	20.0
NFE2L2	KRT16	20.0
GATA3	MATN2	20.0
ZNF148	CST6	20.0
MAF	CCDC68	20.0
SOX6	CDK5R1	20.0
GATA2	SLIT2	20.0
GATA5	EYS	20.0
LHX1	DMGDH	20.0
PPARG	PRRT4	20.0
PPARG	SLC25A18	20.0
ZEB1	EVPL	20.0
GATA2	RAB30	20.0
SOX6	GPC2	20.0
MAF	SERPINF1	20.0
GATA5	LRP1B	20.0
GATA5	SETBP1	20.0
MAF	TLR4	20.0
SOX6	VANGL2	20.0
ARNTL	APH1B	-20.0
TP53	DLK2	20.0
TFAP2A	P2RY11	20.0
MYCN	CKS1B	20.0
E2F1	WNT10A	-20.0
SP4	PARK2	20.0
PPARD	ANKK1	20.0
LHX1	ANK2	20.0
LHX1	HTR4	20.0
MAF	CXCL2	20.0
NR4A1	AQP5	20.0
YBX1	SLC35A2	20.0
GATA4	FOXO1	20.0
CTCF	C8orf34	20.0
E2F6	ELAVL2	20.0
NFYC	PCDHB9	20.0
ZEB1	CD24	20.0
SP4	LYZ	-20.0
GATA3	HMMR	-20.0
GATA5	AIM2	-20.0
SP4	ZC3H12D	-20.0
GATA3	PARD3B	20.0
GATA3	SEMA3C	20.0
LHX1	PLA2R1	20.0
TP53	NXNL2	20.0
GATA4	PCOLCE2	20.0
GATA4	HTR4	20.0
GATA4	ABTB2	-20.0
SP1	MIA	-20.0
PITX2	CDCA8	19.0
IRF9	CXCL11	19.0
PITX2	CENPE	19.0
PITX2	SRPK1	19.0
MAF	PECAM1	19.0
YBX1	ANAPC11	19.0
PITX2	DLGAP5	19.0
PITX2	TNS2	-19.0
NFYB	EXO1	19.0
PITX2	MTBP	19.0
PITX2	GSG2	19.0
PITX2	KIF11	19.0
PITX2	SGO2	19.0
CTCF	SPC24	-19.0
MYCN	RRS1	19.0
CTCF	STXBP1	19.0
MAF	STARD8	19.0
NFYB	NUF2	19.0
MAF	ADCY4	19.0
PITX2	PBK	19.0
NFYB	CEP55	19.0
NFYB	RNASEH2A	19.0
PITX2	E2F8	19.0
NFYB	RAD54L	19.0
PITX2	TRIP13	19.0
HOXB3	GPX7	19.0
YBX1	RECQL4	19.0
GATA2	DNMBP	19.0
TCF3	TBX15	19.0
IRF6	HDGF	19.0
TCF3	AGTR1	19.0
REL	CALR	19.0
TCF3	SVEP1	19.0
GATA3	SSPN	19.0
TCF4	MAL2	19.0
TP53	TP63	19.0
MYCN	VARS	19.0
PITX2	PSME4	19.0
NFYB	EME1	19.0
MYCN	SLC25A39	19.0
MYCN	YDJC	19.0
PLAGL1	DDX49	19.0
CTCF	FANCI	-19.0
PITX2	GTPBP4	19.0
ZEB1	GNG2	-19.0
GATA5	ISG15	-19.0
MYCN	PWP2	19.0
GATA5	ARHGEF38	19.0
MYCN	RUVBL1	19.0
MYCN	HAGHL	19.0
YBX1	NUAK2	19.0
HOXC8	PITX1	-19.0
GATA3	SEMA5A	19.0
CTCF	MRGPRX3	19.0
GATA3	ENPP2	19.0
CTCF	FOXO1	19.0
YBX1	KIF14	19.0
TP53	NTF4	19.0
REST	B4GALNT4	19.0
GATA4	FAT4	19.0
GATA4	MCTP1	19.0
PBX2	GPX3	19.0
NR2F1	PYGM	19.0
GATA5	CACNA2D1	19.0
MYCN	PYCRL	19.0
IRF6	RCC1	19.0
GATA3	THSD4	19.0
CTCF	MUCL1	19.0
ETV1	PTPRB	-19.0
MYCN	TONSL	19.0
PITX2	FANCD2	19.0
IRF9	USP18	19.0
MAF	THBD	19.0
GATA3	FAT4	19.0
BHLHE40	FAXDC2	19.0
ZEB1	NECTIN4	19.0
TP53	AMIGO2	19.0
CREB3L1	SLC39A7	19.0
CTCF	CPE	19.0
GATA3	STARD13	19.0
STAT5B	MAATS1	-19.0
TP53	COL17A1	19.0
CTCF	MRPL9	-19.0
GATA4	ABI3BP	19.0
ZNF202	RPP40	-19.0
SP4	PDGFD	19.0
TCF4	EPCAM	19.0
CDX2	FOXA1	19.0
GATA4	IGSF9	-19.0
GATA2	FAT4	19.0
RFX3	DYNLRB2	19.0
GATA2	SYTL5	19.0
SOX10	ETV7	-19.0
SRF	PTRF	19.0
SOX17	C9orf152	-19.0
YBX1	RASSF7	19.0
CTCF	GSN	19.0
HIVEP2	SLC22A3	-19.0
GATA5	EPHB2	-19.0
CTCF	SPEF2	19.0
GATA3	SLIT3	19.0
E2F7	PIK3R1	19.0
MAF	KAT2B	19.0
SOX10	CHL1	19.0
E2F3	DDO	-19.0
ZEB1	RASAL1	19.0
CTCF	ACSS3	19.0
RUNX1	LRRC15	19.0
MNT	UPP1	-19.0
GATA3	TFPI	19.0
ZNF202	PNPLA7	19.0
CTCF	BHMT2	19.0
YBX1	DPP3	19.0
NFYC	BBOF1	-19.0
EHF	S100A8	19.0
EHF	S100A9	19.0
SP4	GAS2L3	-19.0
GATA4	AFF1	19.0
ZEB1	SERPINF1	-19.0
TFAP2A	FAM207A	19.0
ARNTL	KANK2	-19.0
CREB3L1	KDELR3	19.0
E4F1	FOSB	19.0
E2F6	IGFBPL1	19.0
GATA4	CDH13	19.0
NR2F6	LRFN1	-19.0
TP53	VIPR1	19.0
GATA4	ZFPM2	19.0
PPARG	ALDH4A1	19.0
GATA3	INPP4B	19.0
LHX1	FAM196B	19.0
GATA3	PRICKLE2	19.0
NFYC	ST3GAL4	19.0
CTCF	PLSCR2	-19.0
MAF	CARF	19.0
MAF	THSD7A	19.0
MAX	THSD7B	19.0
FOXJ1	KIF14	19.0
KLF5	SPAG4	19.0
KLF16	COL1A1	-19.0
MAF	PTK7	-19.0
RBPJ	LRRC10B	19.0
GATA3	SYTL2	19.0
SP4	AGO2	-19.0
LHX6	FGF14	-19.0
GATA5	FGF14	19.0
ZNF274	HMGA2	19.0
ALX4	CXCL17	19.0
LHX1	ZNF385D	19.0
EGR3	CLDND2	19.0
SP3	CHRNB4	19.0
FOXM1	S100A7A	19.0
SP4	ATF3	19.0
EHF	CARD17	19.0
LHX1	MAML3	19.0
MYPOP	SYCP2L	19.0
ELK3	VASH2	-19.0
GATA5	PCCA	19.0
PITX2	SKA1	18.0
PITX2	TPX2	18.0
CTCF	MCM2	-18.0
PITX2	DEPDC1B	18.0
YBX1	SASH1	-18.0
GATA3	PALM2-AKAP2	18.0
PITX2	EXO1	18.0
NFYB	CDCA8	18.0
YBX1	TSEN54	18.0
PITX2	CCNB2	18.0
MYCN	TOMM40	18.0
ARNTL	PSMD14	18.0
SOX17	CDK1	18.0
PITX2	FAM72B	18.0
CTCF	CCDC170	18.0
MAF	LRRC2	18.0
CTCF	C21orf58	-18.0
CTCF	FAM47E	18.0
PITX2	OIP5	18.0
PITX2	ESPL1	18.0
CTCF	RFC2	-18.0
CTCF	RECQL4	-18.0
CTCF	MYOM1	18.0
CTCF	CHRDL1	18.0
NFYB	ESPL1	18.0
HOXB3	TMEM147	18.0
NFYB	CDC25C	18.0
YBX1	TOMM40	18.0
GATA2	IQGAP2	18.0
CTCF	PAQR4	-18.0
PITX2	CTPS1	18.0
IRF9	CMPK2	18.0
MAF	MFAP4	18.0
MYCN	SLC52A2	18.0
GATA4	KCNMA1	18.0
SIX2	WDR62	18.0
TCF3	DKC1	-18.0
GATA4	ATOH8	18.0
PITX2	RAPGEF3	-18.0
NFYB	DDX39A	18.0
GATA3	PLSCR4	18.0
GATA2	APPL2	18.0
PITX2	PLPP1	-18.0
ARNTL	SLC16A4	-18.0
MZF1	PUS1	-18.0
YBX1	LRP2BP	-18.0
