Regulator	Target	Weight
Sp6	0610007p14rik	1.0
Sp6	1110032f04rik	1.0
Klf10	1700001l05rik	1.0
Eomes	3110082i17rik	1.0
Hif1a	3110082i17rik	-1.0
Klf10	3110082i17rik	-1.0
Nfkb2	3110082i17rik	1.0
Nfkbia	3110082i17rik	1.0
Nfkbib	3110082i17rik	1.0
Nfkbid	3110082i17rik	1.0
Sp6	3110082i17rik	1.0
Ets1	4632428n05rik	1.0
Klf10	4632428n05rik	1.0
Runx2	4632428n05rik	2.0
Nfkb2	9030617o03rik	1.0
Nfkbia	9030617o03rik	1.0
Nfkbib	9030617o03rik	1.0
Nfkbid	9030617o03rik	1.0
Runx2	9030617o03rik	-1.0
Sp6	9030617o03rik	1.0
Klf10	9130401m01rik	-1.0
Nfkb2	9130401m01rik	1.0
Sp6	9130401m01rik	1.0
Klf10	Abcb1b	-1.0
Runx2	Abcb1b	-1.0
Sp6	Abcb1b	1.0
Klf10	Abcb9	1.0
Hif1a	Abi3	1.0
Klf10	Abtb1	1.0
Fosl2	Acadl	1.0
Klf10	Acadl	1.0
Runx2	Acadl	1.0
Sp6	Acot1	1.0
Klf10	Actn1	-1.0
Nfkb2	Actn1	1.0
Sp6	Actn1	1.0
Klf10	Acvrl1	1.0
Batf	Adam19	1.0
Ets1	Adam19	1.0
Maf	Adam19	1.0
Rora	Adam19	1.0
Rorc	Adam19	1.0
Runx2	Adam19	2.0
Batf	Adam8	1.0
Ets1	Adam8	1.0
Fosl2	Adam8	1.0
Klf10	Adam8	1.0
Maf	Adam8	1.0
Rora	Adam8	1.0
Rorc	Adam8	1.0
Runx2	Adam8	1.0
Klf10	Adamtsl5	1.0
Runx2	Adamtsl5	1.0
Batf	Adora3	1.0
Ets1	Adora3	1.0
Fosl2	Adora3	1.0
Klf10	Adora3	1.0
Maf	Adora3	1.0
Runx2	Adora3	2.0
Klf10	Agl	1.0
Batf	Ahnak	1.0
Ets1	Ahnak	1.0
Fosl2	Ahnak	1.0
Klf10	Ahnak	1.0
Runx2	Ahnak	2.0
Fosl2	Ak4	1.0
Hif1a	Ak4	1.0
Klf10	Ak4	1.0
Runx2	Akap9	1.0
Klf10	Aldoc	1.0
Runx2	Alox5ap	-1.0
Klf10	Ankrd33b	-1.0
Nfkb2	Ankrd33b	2.0
Nfkbia	Ankrd33b	2.0
Nfkbib	Ankrd33b	2.0
Nfkbid	Ankrd33b	2.0
Osr2	Ankrd33b	1.0
Runx2	Ankrd33b	-1.0
Sp6	Ankrd33b	1.0
Hif1a	Ankrd37	1.0
Fosl2	Anxa2	1.0
Klf10	Anxa2	1.0
Runx2	Anxa2	1.0
Nfkb2	Anxa3	1.0
Nfkbia	Anxa3	1.0
Nfkbib	Anxa3	1.0
Nfkbid	Anxa3	1.0
Runx2	Anxa3	-1.0
Sp6	Anxa3	1.0
Ets1	Anxa4	1.0
Klf10	Aplp1	1.0
Nfkb2	Apobec1	2.0
Osr2	Apobec1	1.0
Runx2	Apobec1	-1.0
Sp6	Apobec1	1.0
Ets1	Aqp9	1.0
Fosl2	Aqp9	1.0
Runx2	Aqp9	2.0
Batf	Arhgef10	1.0
Ets1	Arhgef10	1.0
Fosl2	Arhgef10	1.0
Klf10	Arhgef10	1.0
Rora	Arhgef10	1.0
Rorc	Arhgef10	1.0
Runx2	Arhgef10	2.0
Batf	Arhgef9	1.0
Ets1	Arhgef9	1.0
Fosl2	Arhgef9	1.0
Maf	Arhgef9	1.0
Runx2	Arhgef9	2.0
Batf	Arl4c	1.0
Fosl2	Arl4c	1.0
Klf10	Arl4c	1.0
Runx2	Arl4c	1.0
Runx2	Armcx2	1.0
Batf	Arrb1	1.0
Fosl2	Arrb1	1.0
Hif1a	Arrb1	1.0
Runx2	Arrb1	2.0
Ets1	Asb2	1.0
