	Tr1: BatfKO v Control	Tr1: BatfKO v Irf1KO	Tr1: Irf1KO v Control
0610005C13Rik	-0.083527526	0.025409596	-0.108937122
0610007C21Rik	0	0	0
0610007L01Rik	0	0	0
0610007P08Rik	0	0	0
0610007P14Rik	1.02369762	1.00264136	0.02105626
0610007P22Rik	0	0	0
0610009B14Rik	0	0	0
0610009B22Rik	0.55495361	0.272584291	0.282369319
0610009D07Rik	0	0	0
0610009L18Rik	-0.443834648	-0.204466853	-0.239367795
0610009O20Rik	-0.090011072	-0.36628994	0.276278868
0610010B08Rik	0	0	0
0610010F05Rik	0.38884568	0.638041105	-0.249195425
0610010K14Rik	0.035964889	-0.398860085	0.434824974
0610010O12Rik	0	0	0
0610011F06Rik	-0.112275917	-0.043840645	-0.068435272
0610011L14Rik	0	0	0
0610012G03Rik	-0.877018616	-0.995294792	0.118276177
0610012H03Rik	0	0	0
0610030E20Rik	0.18687469	-0.226798759	0.413673448
0610031J06Rik	-0.412959216	-0.281404219	-0.131554997
0610037L13Rik	0.531161423	0.166980784	0.364180639
0610037P05Rik	0	0	0
0610038B21Rik	0.35787635	0.297280275	0.060596076
0610039K10Rik	-0.022053278	-0.115078314	0.093025036
0610040B10Rik	-0.221502602	-0.047479374	-0.174023229
0610040F04Rik	-0.151646893	0.088669022	-0.240315915
0610040J01Rik	0	0	0
0610043K17Rik	-0.114569913	0.005085706	-0.119655619
0910001L09Rik	0	0	0
1100001G20Rik	0	0	0
1110001A16Rik	0	0	0
1110001J03Rik	0.247527807	0.741835741	-0.494307934
1110002B05Rik	0	0	0
1110002L01Rik	-0.353698428	-0.37242233	0.018723902
1110002N22Rik	0	0	0
1110003E01Rik	0	0	0
1110004E09Rik	0.262692079	0.167047172	0.095644907
1110004F10Rik	0.325656191	0.540170591	-0.2145144
1110005A03Rik	0	0	0
1110006O24Rik	-0.014471331	-0.135951969	0.121480638
1110007C09Rik	-0.327292805	-0.940464376	0.61317157
1110008F13Rik	-0.407159893	-0.103938109	-0.303221784
1110008J03Rik	0	0	0
1110008L16Rik	0.244357936	0.571393371	-0.327035435
1110008P14Rik	-0.10974211	0.39426843	-0.50401054
1110012D08Rik	0	0	0
1110012J17Rik	0	0	0
1110012L19Rik	0.394925988	0.00665671	0.388269278
1110014N23Rik	0	0	0
1110017D15Rik	0	0	0
1110017F19Rik	0	0	0
1110018G07Rik	0	0	0
1110018J18Rik	0	0	0
1110019D14Rik	0.038014414	0.1452968	-0.107282386
1110020A21Rik	-0.101629952	-0.149314778	0.047684826
1110020G09Rik	0	0	0
1110021J02Rik	0	0	0
1110021L09Rik	0	0	0
1110028C15Rik	0	0	0
1110028F11Rik	0.022697327	-0.148442318	0.171139645
1110031I02Rik	0	0	0
1110032A03Rik	-0.386290052	-0.129713966	-0.256576086
1110032F04Rik	1.614982998	1.52846729	0.086515708
1110034A24Rik	0	0	0
1110034B05Rik	0	0	0
1110034G24Rik	0.491555004	0.376823824	0.11473118
1110037F02Rik	-0.016097575	0.08279994	-0.098897515
1110038B12Rik	0.057700438	-0.461570326	0.519270764
1110038D17Rik	0	0	0
1110038F14Rik	-0.22603998	0.168384046	-0.394424026
1110046J04Rik	-0.171313274	0.251080529	-0.422393802
1110049F12Rik	0	0	0
1110051M20Rik	0.478591479	0.747526944	-0.268935465
1110054M08Rik	-0.012627667	-0.064595618	0.05196795
1110054O05Rik	0	0	0
1110057K04Rik	0.089189515	0.304298624	-0.215109109
1110058L19Rik	-0.019688183	0.120059499	-0.139747682
1110059E24Rik	-0.056229497	-0.107087831	0.050858334
1110059G10Rik	0.410048227	0.151835188	0.258213039
1110065P20Rik	0.123955807	0.026735356	0.097220451
1110067D22Rik	0	0	0
1190002F15Rik	0.064553019	-0.374196389	0.438749408
1190002H23Rik	0	0	0
1190002N15Rik	-0.842940587	-0.057858161	-0.785082426
1190003J15Rik	0	0	0
1190005F20Rik	0	0	0
1190005I06Rik	0.183931824	0.063851958	0.120079866
1190007F08Rik	0	0	0
1190007I07Rik	0.377419526	0.722647044	-0.345227519
1200009I06Rik	0	0	0
1200011I18Rik	0	0	0
1200011M11Rik	0	0	0
1200014J11Rik	-0.112925167	-0.301558433	0.188633266
1200016B10Rik	0	0	0
1300001I01Rik	0	0	0
1300002E11Rik	0.01473807	0.089590085	-0.074852015
1300010F03Rik	0	0	0
1300014I06Rik	0	0	0
1300017J02Rik	0	0	0
1300018I17Rik	0	0	0
1300018J18Rik	0	0	0
1500001M20Rik	0	0	0
1500002O20Rik	0	0	0
1500003O03Rik	0	0	0
1500004A13Rik	-0.350612244	-0.363812376	0.013200131
1500009C09Rik	0	0	0
1500009L16Rik	0.428274729	-0.1214796	0.549754329
1500010J02Rik	0	0	0
1500011B03Rik	0.321640394	0.150772397	0.170867997
1500011H22Rik	0	0	0
1500011K16Rik	0.147777498	-0.518458291	0.666235789
1500012F01Rik	0.422376522	-0.125624873	0.548001395
1500015A07Rik	-0.201053843	0.154702016	-0.355755859
1500015O10Rik	0	0	0
1500016L03Rik	0	0	0
1500017E21Rik	0	0	0
1500031L02Rik	0	0	0
1500032L24Rik	0	0	0
1520402A15Rik	0	0	0
1600002H07Rik	-0.218313946	0.472631676	-0.690945622
1600002K03Rik	-0.172958663	-0.685061178	0.512102515
1600010M07Rik	0	0	0
1600012F09Rik	0	0	0
1600012H06Rik	-0.58571131	-0.709498169	0.123786859
1600014C10Rik	-0.589247328	-0.216602234	-0.372645094
1600014C23Rik	-0.493537961	-0.169437027	-0.324100934
1600015I10Rik	0	0	0
1600016N20Rik	-0.272818065	-0.793355503	0.520537439
1600020E01Rik	-0.040339877	-0.884054238	0.843714362
1600021P15Rik	0	0	0
1600023N17Rik	0.015348202	-0.103254199	0.118602401
1600027N09Rik	0	0	0
1600029D21Rik	0	0	0
1600029I14Rik	0	0	0
1600029O15Rik	0.118482072	-0.078722998	0.19720507
1700001C19Rik	-0.115525697	0.004606292	-0.120131989
1700001D01Rik	0.017833559	-0.117626541	0.1354601
1700001F09Rik	0	0	0
1700001G11Rik	-0.00630722	-0.06315801	0.05685079
1700001G17Rik	0.527485343	0.177805626	0.349679717
1700001J03Rik	0	0	0
1700001J11Rik	-0.151261947	0.013188301	-0.164450248
1700001K19Rik	0	0	0
1700001K23Rik	0.02117425	-0.135987411	0.157161661
1700001L05Rik	-1.362073055	-0.302706655	-1.059366399
1700001L19Rik	0	0	0
1700001O22Rik	-0.067251457	-0.213074476	0.145823019
1700001P01Rik	0	0	0
1700003D09Rik	0.017833559	-0.117626541	0.1354601
1700003E16Rik	-0.190134073	-0.078816449	-0.111317625
1700003F12Rik	0	0	0
1700003G18Rik	0	0	0
1700003H04Rik	0.017833559	-0.117626541	0.1354601
1700003M07Rik	0.318600519	-0.151885391	0.47048591
1700007B14Rik	0	0	0
1700007E06Rik	0	0	0
1700007G11Rik	0	0	0
1700007I08Rik	0	0	0
1700007J10Rik	0.099521318	-0.010014594	0.109535912
1700007K09Rik	0.017833559	-0.117626541	0.1354601
1700007K13Rik	0.269825254	-0.213838816	0.48366407
1700007L15Rik	-0.243862926	0.311583591	-0.555446516
1700008F21Rik	-0.087177543	0.001443079	-0.088620622
1700008I05Rik	0	0	0
1700008J07Rik	0.551863524	0.570999138	-0.019135614
1700008O03Rik	0	0	0
1700008P02Rik	0	0	0
1700008P20Rik	0	0	0
1700009N14Rik	0	0	0
1700009P17Rik	0.095156603	0.471518757	-0.376362154
1700010B08Rik	0	0	0
1700010D01Rik	0.152591934	0.137654639	0.014937295
1700010I14Rik	-0.370263379	-0.402124762	0.031861382
1700011E24Rik	0	0	0
1700011H14Rik	0	0	0
1700011L22Rik	0	0	0
1700012A16Rik	0	0	0
1700012B09Rik	-0.156188065	-0.019892065	-0.136296001
1700012B15Rik	0	0	0
1700012D01Rik	-0.024300344	-0.045486385	0.021186041
1700012D14Rik	-0.087177543	0.001443079	-0.088620622
1700012L04Rik	0	0	0
1700013D24Rik	0	0	0
1700013F07Rik	0.091387025	-0.035335411	0.126722436
1700013G24Rik	0	0	0
1700013H16Rik	0	0	0
1700013N18Rik	0	0	0
1700014N06Rik	0	0	0
1700015E13Rik	0	0	0
1700016C15Rik	0.015348202	-0.103254199	0.118602401
1700016D06Rik	0.152591934	0.137654639	0.014937295
1700016H13Rik	0	0	0
1700016K19Rik	0.125857726	-0.051433106	0.177290831
1700016L04Rik	-0.114569913	0.005085706	-0.119655619
1700017B05Rik	-0.312031419	-0.349660089	0.03762867
1700017D01Rik	0	0	0
1700018A04Rik	0	0	0
1700018A14Rik	0	0	0
1700018B08Rik	0	0	0
1700018C11Rik	0.015348202	-0.103254199	0.118602401
1700018L02Rik	0.007325756	0.091199365	-0.08387361
1700018L24Rik	0	0	0
1700019A02Rik	0	0	0
1700019B03Rik	0	0	0
1700019D03Rik	0.804271027	0.577240105	0.227030923
1700019E19Rik	0	0	0
1700019G17Rik	-0.046019422	0.483116826	-0.529136248
