regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior	precision	recall
birA	bioA	-20.0	20.0	0.999929943538	0.999998625171	-1	1.0	0.000384024577573
birA	bioF	-20.0	20.0	0.999924247198	0.999998396033	-1	1.0	0.000768049155146
birA	bioD	-20.0	20.0	0.999863004622	0.999993469561	-1	1.0	0.00115207373272
spoIVCB	yitB	20.0	20.0	0.999808953842	0.999986137138	1	1.0	0.00153609831029
spoIVCB	ytcC	20.0	20.0	0.999790431945	0.999983845756	1	1.0	0.00192012288786
alsR	alsD	20.0	20.0	0.999798109123	0.99998338748	1	1.0	0.00230414746544
alsR	alsS	20.0	20.0	0.999758908156	0.999978575577	1	1.0	0.00268817204301
spoIVCB	ytcB	20.0	20.0	0.999739842798	0.999972847122	1	1.0	0.00307219662058
spoIVCB	yisZ	20.0	20.0	0.999651001867	0.999966889528	1	1.0	0.00345622119816
spoIVCB	yitC	20.0	20.0	0.999697236289	0.999963223317	1	1.0	0.00384024577573
spoIVCB	yitD	20.0	20.0	0.99978583932	0.999960015382	1	1.0	0.0042242703533
sigE	yobW	20.0	20.0	0.999606820771	0.99995898426	0	0.916666666667	0.0042242703533
spoIVCB	ytcA	20.0	20.0	0.999717632335	0.999947641919	1	0.923076923077	0.00460829493088
mntR	mntB	-20.0	20.0	0.999441206188	0.99994489226	-1	0.928571428571	0.00499231950845
birA	bioB	-20.0	20.0	0.999446814404	0.999942830016	-1	0.933333333333	0.00537634408602
spoIVCB	sat	20.0	20.0	0.999471224242	0.999940882341	1	0.9375	0.00576036866359
mntR	mntC	-20.0	20.0	0.999291410919	0.999915791707	-1	0.941176470588	0.00614439324117
cysL	yvgQ	20.0	20.0	0.999149800501	0.999912125496	1	0.944444444444	0.00652841781874
sigG	spoVAA	20.0	20.0	0.999234558835	0.999906969886	1	0.947368421053	0.00691244239631
nadR	nadC	-20.0	20.0	0.999499182975	0.99990513678	-1	0.95	0.00729646697389
birA	bioI	-20.0	20.0	0.999120630673	0.999903532813	-1	0.952380952381	0.00768049155146
bltR	blt	20.0	20.0	0.999133639963	0.999901012293	1	0.954545454545	0.00806451612903
cysL	cysJ	20.0	20.0	0.999112507863	0.999899408325	1	0.95652173913	0.00844854070661
ytlI	ytnL	20.0	20.0	0.998958851113	0.999885087187	1	0.958333333333	0.00883256528418
sigE	yknT	20.0	20.0	0.998946236273	0.999879015024	1	0.96	0.00921658986175
sigG	spoVAC	20.0	20.0	0.999343208174	0.999878671317	1	0.961538461538	0.00960061443932
spoIVCB	cotA	20.0	20.0	0.999241190776	0.999872713723	1	0.962962962963	0.0099846390169
sigG	spoVAD	20.0	20.0	0.999235165543	0.999868245528	1	0.964285714286	0.0103686635945
ytlI	ytnI	20.0	20.0	0.998891231154	0.999867787252	1	0.965517241379	0.010752688172
mntR	mntD	-20.0	20.0	0.998936342167	0.999848883349	-1	0.966666666667	0.0111367127496
nadR	nadB	-20.0	20.0	0.998583339195	0.999846935675	-1	0.967741935484	0.0115207373272
sigE	yngG	20.0	20.0	0.998706523129	0.999843498601	1	0.96875	0.0119047619048
